"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"292","David Pastrnak","BOS","R","82","1265.8833333333","25","41","30","11","66","91.67","206","12.14","16.99","404","281","182","67","20","39","28","13","13","0","0","31","99","35","53","78","20","3","5","37.50"
"141","Nikita Kucherov","T.B","R","78","1263.3166666667","24","37","23","14","61","74.39","179","13.41","16.35","371","261","188","68","12","38","43","16","14","1","1","27","101","26","19","53","31","0","0","-"
"6","Sidney Crosby","PIT","C","80","1272.8333333333","16","40","23","17","56","76.71","151","10.60","17.9","288","236","156","69","9","24","29","13","12","1","0","18","68","24","57","35","35","785","611","56.23"
"456","Brandon Hagel","T.B","L","82","1231.65","23","33","20","13","56","84.85","165","13.94","19.47","332","243","190","95","9","35","36","17","17","0","0","23","80","21","54","121","45","4","9","30.77"
"380","Artemi Panarin","NYR","L","80","1238.0166666667","25","30","15","15","55","84.62","157","15.92","13.41","355","254","166","46","24","25","12","6","6","0","0","12","82","21","17","37","9","0","0","-"
"246","Nathan MacKinnon","COL","C","79","1348.6666666667","15","38","23","15","53","76.81","225","6.67","18.85","398","303","229","74","12","34","25","11","10","1","0","20","101","23","33","59","51","597","627","48.77"
"276","Leon Draisaitl","EDM","C","71","1182.3666666667","23","30","20","10","53","81.54","147","15.65","14.35","248","199","139","50","15","26","30","15","15","0","0","27","73","33","20","73","25","466","413","53.01"
"500","Jason Robertson","DAL","L","82","1128.95","23","30","15","15","53","85.48","133","17.29","13.38","263","190","129","51","11","22","16","8","8","0","0","18","84","19","52","68","39","6","12","33.33"
"330","Kyle Connor","WPG","L","82","1284.4333333333","26","25","14","11","51","77.27","177","14.69","17.29","327","243","192","76","12","32","23","10","9","1","0","11","67","28","19","40","34","0","3","0.00"
"334","Connor McDavid","EDM","C","67","1153.4833333333","15","36","23","13","51","75.00","142","10.56","18.34","259","209","169","80","9","36","16","8","8","0","0","22","61","27","37","60","11","334","369","47.51"
"371","Mitch Marner","TOR","R","81","1181.5833333333","15","35","19","16","50","80.65","115","13.04","10.77","260","173","135","41","9","20","10","5","5","0","0","9","82","37","45","46","29","8","14","36.36"
"673","Aliaksei Protas","WSH","C","76","1055.6833333333","20","30","19","11","50","72.46","111","18.02","14.29","205","177","138","69","11","13","16","8","8","0","0","15","50","15","19","74","24","2","8","20.00"
"633","Cole Caufield","MTL","R","82","1142.2333333333","26","23","17","6","49","75.38","183","14.21","20.1","318","260","164","73","13","29","12","6","6","0","0","16","42","18","59","57","27","5","9","35.71"
"360","Zach Werenski","CBJ","D","81","1703.4833333333","15","33","21","12","48","55.81","224","6.70","14.39","472","333","155","43","22","44","21","9","8","1","0","13","109","37","17","127","112","0","0","-"
"499","Robert Thomas","STL","C","70","1032.6","12","36","19","17","48","81.36","105","11.43","12.05","220","164","134","51","5","23","20","10","10","0","0","11","78","18","11","63","39","510","425","54.55"
"57","Matt Duchene","DAL","C","82","1105.3833333333","19","28","14","14","47","79.66","113","16.81","13.95","205","161","125","54","8","22","10","5","5","0","0","8","68","16","28","53","19","374","323","53.66"
"335","Jack Eichel","VGK","C","77","1149.75","20","27","13","14","47","69.12","154","12.99","14.09","272","207","147","62","7","22","6","3","3","0","0","15","68","24","20","52","37","474","552","46.20"
"433","Jordan Kyrou","STL","C, R","82","1157.4166666667","25","22","13","9","47","74.60","184","13.59","15.7","335","247","190","61","12","24","20","10","10","0","0","20","69","19","43","74","34","4","7","36.36"
"446","Tage Thompson","BUF","C","76","1083.65","33","14","9","5","47","73.44","168","19.64","14.4","338","242","157","65","12","29","31","10","8","1","1","12","47","15","66","54","30","236","328","41.84"
"498","Nick Suzuki","MTL","C","82","1189.1166666667","17","30","16","14","47","65.28","114","14.91","12.21","230","168","126","50","11","20","4","2","2","0","0","10","63","25","53","70","58","495","453","52.22"
"147","Mark Scheifele","WPG","C","82","1343.5833333333","19","27","20","7","46","67.65","113","16.81","16.85","232","182","160","87","14","25","47","18","16","1","1","26","91","24","70","117","50","461","486","48.68"
